class,epsilon,evasion_rate,confidence_drop,n_samples
Bot,0.01,0.00025623705005273223,0.0003384853480383754,42929
Bot,0.05,0.5001513957977295,0.4995807409286499,42929
Bot,0.1,0.500221312046051,0.4999908208847046,42929
Bot,0.3,0.5002678632736206,0.5000472068786621,42929
DDOS attack-HOIC,0.01,2.2211856048670597e-05,2.1113964976393618e-05,45021
DDOS attack-HOIC,0.05,0.757513165473938,0.7575093507766724,45021
DDOS attack-HOIC,0.1,0.757513165473938,0.757509171962738,45021
DDOS attack-HOIC,0.3,1.0,0.9983340501785278,45021
DDoS attacks-LOIC-HTTP,0.01,0.006724218372255564,0.005709962919354439,45061
DDoS attacks-LOIC-HTTP,0.05,0.034553162753582,0.04963678494095802,45061
DDoS attacks-LOIC-HTTP,0.1,0.09773418307304382,0.11533331125974655,45061
DDoS attacks-LOIC-HTTP,0.3,0.17791438102722168,0.17581364512443542,45061
DoS attacks-Hulk,0.01,0.0,5.524817936475301e-09,44945
DoS attacks-Hulk,0.05,4.449883272172883e-05,5.94625853409525e-05,44945
DoS attacks-Hulk,0.1,0.00031149183632805943,0.0003191644500475377,44945
DoS attacks-Hulk,0.3,0.9446434378623962,0.9444991946220398,44945
FTP-BruteForce,0.01,0.0,3.406505493330769e-05,29003
FTP-BruteForce,0.05,0.03716856986284256,0.04806547984480858,29003
FTP-BruteForce,0.1,0.11819466948509216,0.1201515719294548,29003
FTP-BruteForce,0.3,1.0,0.9998691082000732,29003
Infilteration,0.01,0.17388778924942017,0.014037437736988068,24096
Infilteration,0.05,0.2079598307609558,0.055406831204891205,24096
Infilteration,0.1,0.2280876487493515,0.1007671058177948,24096
Infilteration,0.3,0.5444056987762451,0.2731360197067261,24096
SSH-Bruteforce,0.01,0.00014215651026461273,1.636950037209317e-05,28138
SSH-Bruteforce,0.05,0.00014215651026461273,2.1936224584351294e-05,28138
SSH-Bruteforce,0.1,0.00014215651026461273,2.194280932599213e-05,28138
SSH-Bruteforce,0.3,0.00014215651026461273,2.194446096837055e-05,28138
